주소,병원명,종별코드,종별코드명,한방일반의 인원수,한방인턴 인원수,한방레지던트 인원수,한방전문의 인원수,치과일반의 인원수,치과인턴의 인원수,치과레지던트의 인원수,치과전문의 인원수,의사총수,읍면동명,개설일자,홈페이지,의과일반의 인원수,의과인턴의 인원수,의과레지던트의 인원수,의과전문의 인원수,조산사 인원수,우편번호,시군구코드,시군구명,시도코드,시도명,전화번호,X좌표,Y좌표,암호화된 요양기호,(네이버)진료시간
"경상남도 창원시 마산회원구 팔용로 158-158 (합성동, 삼성창원병원)",학교법인성균관대학삼성창원병원,01,상급종합,0,0,0,0,3,0,0,2,263,"",19810311,http://smc.skku.edu,1,17,56,184,0,51353,380701,창원마산회원구,380000,경남,055-233-8899,128.592,35.2429,JDQ4MTYyMiM4MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQyNjEyMjIjNjEjJDEjJDQjJDgz,""
경상북도 구미시 인동20길 46  (진평동),구미강동병원,11,종합병원,0,0,0,0,3,0,0,0,33,"",20080324,http://www.gumigd.co.kr,0,0,0,30,0,39399,370200,구미시,370000,경북,054-453-7575,128.423,36.0962,JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQyNjEyMjIjNjEjJDEjJDAjJDgz,""
경상북도 김천시 모암길 24  (모암동),경상북도김천의료원,11,종합병원,0,0,0,0,2,0,0,0,41,"",19660426,http://www.gcmc.or.kr,2,0,0,37,0,39579,370300,김천시,370000,경북,054-432-8901,128.126,36.1227,JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQzIyQwMCQ0NjEwMDIjNjEjJDEjJDAjJDgz,""
경상북도 안동시 태사2길 55  (북문동),경상북도안동의료원,11,종합병원,0,0,0,0,2,0,0,0,25,"",19810831,http://amc.or.kr,0,0,0,23,0,36694,370400,안동시,370000,경북,054-850-6000,128.732,36.5682,JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQzIyQwMCQzNjEwMDIjNDEjJDEjJDgjJDgz,""
경상북도 포항시 북구 용흥로 36  (용흥동),경상북도포항의료원,11,종합병원,0,0,0,0,2,0,0,0,21,"",19780727,http://www.pmc.or.kr,2,0,0,17,0,37688,370702,포항북구,370000,경북,054-247-0551,129.355,36.0349,JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjE0ODEjNDEjJDEjJDgjJDgz,""
광주광역시 광산구 왕버들로 220 (수완동),KS병원,11,종합병원,0,0,0,0,0,0,0,1,40,"",20110422,http://www.kshosp.com,0,0,0,39,0,62248,240004,광주광산구,240000,광주,062-975-9000,126.833,35.1979,JDQ4MTYyMiM3MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQwMyQyNjEwMDIjNDEjJDEjJDgjJDgz,""
광주광역시 광산구 임방울대로 370  (수완동),광주수완병원,11,종합병원,0,0,0,0,0,0,0,0,19,"",20110103,"",0,0,0,19,0,62247,240004,광주광산구,240000,광주,062-958-1111,126.824,35.1931,JDQ4MTYyMiM3MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQwMyQ0NjEwMDIjNzEjJDEjJDgjJDgz,""
광주광역시 광산구 첨단월봉로 99  (산월동),광주보훈병원,11,종합병원,1,0,0,0,0,0,0,5,64,"",19870326,http://gwangju.bohun.or.kr,0,3,6,49,0,62284,240004,광주광산구,240000,광주,062-602-6114,126.85,35.2079,JDQ4MTYyMiM3MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQyNjE4MzIjNzEjJDEjJDgjJDgz,""
광주광역시 남구 서문대로654번길 5  (진월동),광주씨티병원,11,종합병원,0,0,0,0,0,0,0,0,22,"",20050501,http://www.ct119.co.kr/,1,0,0,21,0,61710,240005,광주남구,240000,광주,062-460-7000,126.899,35.1177,JDQ4MTYyMiM3MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQyNjEwMDIjNDEjJDEjJDQjJDgz,""
광주광역시 남구 양림로 37  (양림동),광주기독병원,11,종합병원,0,0,0,0,0,0,0,2,124,"",19830329,http://www.kch.or.kr,0,11,24,87,0,61661,240005,광주남구,240000,광주,062-650-5000,126.912,35.1367,JDQ4MTYyMiM3MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjE4MzIjNDEjJDEjJDQjJDgz,""
광주광역시 동구 제봉로 42  (학동),전남대학교병원,01,상급종합,0,0,0,0,0,0,8,6,485,"",19830415,http://www.cnuh.com/,1,88,117,265,0,61469,240001,광주동구,240000,광주,062-1899-0000,126.922,35.1418,JDQ4MTYyMiM3MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEwMDIjNTEjJDEjJDYjJDgz,""
광주광역시 동구 필문대로 365  (학동),조선대학교병원,01,상급종합,0,0,0,0,0,0,1,3,317,"",19830415,http://hosp.chosun.ac.kr,0,29,110,174,0,61453,240001,광주동구,240000,광주,062-220-3321,126.926,35.1391,JDQ4MTYyMiM3MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEyMjIjNDEjJDEjJDgjJDgz,""
광주광역시 북구 면앙로139번길 51  (두암동),광주병원,11,종합병원,0,0,0,0,1,0,0,0,34,"",20010202,"",0,0,0,33,0,61171,240002,광주북구,240000,광주,062-260-7100,126.928,35.1789,JDQ4MTYyMiM3MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ3OSQyNjE0ODEjNDEjJDEjJDgjJDgz,""
광주광역시 북구 설죽로 291  (용봉동),광주현대병원,11,종합병원,0,0,0,0,0,0,0,0,33,"",19980603,"",0,0,0,33,0,61063,240002,광주북구,240000,광주,062-570-0114,126.898,35.1857,JDQ4MTYyMiM3MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQwMyQ0NjE0ODEjODEjJDEjJDYjJDgz,""
광주광역시 북구 양일로 309  (일곡동),광주일곡병원,11,종합병원,0,0,0,0,0,0,0,0,20,"",20021213,"",2,0,0,18,0,61040,240002,광주북구,240000,광주,062-608-7000,126.898,35.2029,JDQ4MTYyMiM3MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQxMyQyNjE0ODEjNDEjJDEjJDgjJDgz,""
광주광역시 북구 하서로 429  (용두동),광주희망병원,11,종합병원,0,0,0,0,0,0,0,0,23,"",20070323,"",0,0,0,23,0,61019,240002,광주북구,240000,광주,062-608-6000,126.875,35.2135,JDQ4MTYyMiM3MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ3OSQyNjEwMDIjNDEjJDEjJDQjJDgz,""
광주광역시 서구 월드컵4강로 223  (쌍촌동),광주한국병원,11,종합병원,0,0,0,0,0,0,0,0,24,"",19830418,"",0,0,0,24,0,61967,240003,광주서구,240000,광주,062-380-3000,126.869,35.1562,JDQ4MTYyMiM3MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQxMyQzNjEwMDIjNDEjJDEjJDgjJDgz,""
대구광역시 남구 두류공원로17길 33 (대명동),대구가톨릭대학교병원,01,상급종합,0,0,0,0,3,0,0,6,292,"",19800812,http://www.dcmc.co.kr/,12,0,96,175,0,42472,230001,대구남구,230000,대구,053-650-3000,128.568,35.8436,JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQ0NjEwMDIjNTEjJDEjJDIjJDgz,""
대구광역시 남구 현충로 170 (대명동),영남대학교병원,01,상급종합,0,0,0,0,0,0,0,3,379,"",19830314,http://www.yumc.ac.kr,1,42,116,217,0,42415,230001,대구남구,230000,대구,053-623-8001,128.582,35.8481,JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQzNjE0ODEjODEjJDEjJDYjJDgz,""
대구광역시 달서구 달구벌대로 1035 (신당동),계명대학교동산병원,01,상급종합,0,0,0,0,3,0,0,1,353,"",19680406,http://www.dsmc.or.kr/,1,31,93,224,0,42601,230007,대구달서구,230000,대구,1577-6622,128.48,35.8539,JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEyMjIjNjEjJDEjJDQjJDgz,""
대구광역시 동구 동촌로 207 강남병원 (방촌동),강남병원,11,종합병원,0,0,0,0,0,0,0,0,18,"",20030627,"",0,0,0,18,0,41145,230002,대구동구,230000,대구,053-980-9000,128.663,35.8829,JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQ0NjEwMDIjODEjJDEjJDYjJDgz,""
대구광역시 북구 호국로 807 칠곡경북대학교병원(임살실습동 1~11층 포함) (학정동),칠곡경북대학교병원,01,상급종합,0,0,0,0,0,0,0,2,227,"",20101029,http://www.knumc.org,0,0,21,204,0,41404,230003,대구북구,230000,대구,053-200-2000,128.565,35.9564,JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQzNjEyMjIjNzEjJDEjJDgjJDgz,""
"대구광역시 수성구 달구벌대로 3190 (신매동, 천주성삼병원)",(재)미리내천주성삼성직수도회천주성삼병원,11,종합병원,0,0,0,0,0,0,0,0,21,"",20030124,"",0,0,0,21,0,42274,230005,대구수성구,230000,대구,053-790-1000,128.706,35.8403,JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQ0NjEwMDIjNDEjJDEjJDgjJDgz,""
대구광역시 중구 국채보상로 531 (수동),곽병원,11,종합병원,0,0,0,0,1,0,0,0,25,"",19760409,http://www.kwakh.co.kr/,1,0,0,23,0,41919,230006,대구중구,230000,대구,053-252-2401,128.589,35.871,JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQzIyQwMCQ0NjE0ODEjNjEjJDEjJDgjJDgz,""
대구광역시 중구 달성로 56 계명대학교대구동산병원 (동산동),계명대학교대구동산병원,11,종합병원,0,0,0,0,0,0,0,0,40,"",20190329,"",0,0,0,40,0,41931,230006,대구중구,230000,대구,053-250-8114,128.583,35.8695,JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQzNjEwMDIjNjEjJDEjJDgjJDgz,""
"대구광역시 중구 동덕로 130 (삼덕동2가, 경북대학교병원)",경북대학교병원,01,상급종합,0,0,0,0,0,0,0,1,466,"",19100907,http://knumc.knu.ac.kr,4,75,188,198,0,41944,230006,대구중구,230000,대구,053-200-5114,128.605,35.8663,JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEwMDIjNzEjJDEjJDgjJDgz,""
대전광역시 중구 문화로 282 (대사동),충남대학교병원,01,상급종합,0,0,0,0,0,0,0,3,501,대사동,19841105,http://www.cnuh.co.kr/,3,57,159,279,0,35015,250005,대전중구,250000,대전,042-1599-7123,127.415,36.3169,JDQ4MTYyMiM2MSMkMSMkMiMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEwMDIjNjEjJDEjJDgjJDgz,""
"부산광역시 부산진구 복지로 75, 진사로83번길 75 진사로83번길 81, 1층(일부), 3층 (개금동)",인제대학교부산백병원,01,상급종합,0,0,0,0,1,0,0,4,367,"",19790601,"",2,35,113,212,0,47392,210004,부산진구,210000,부산,051-890-6114,129.021,35.1455,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjEyMjIjNTEjJDEjJDYjJDgz,""
부산광역시 북구 낙동대로 1786 (구포동),구포성심병원,11,종합병원,0,0,0,0,0,0,0,1,26,"",19830419,"",0,0,0,25,0,46581,210005,부산북구,210000,부산,051-330-2001,129.005,35.2097,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4MiQzNjEyMjIjNzEjJDEjJDgjJDgz,""
부산광역시 서구 감천로 262 (암남동),고신대학교복음병원,11,종합병원,0,0,0,0,3,0,0,3,302,"",19740226,http://www.kosinmed.or.kr/,2,19,81,194,0,49267,210006,부산서구,210000,부산,990-6114,129.014,35.081,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjE4MzIjODEjJDEjJDYjJDgz,""
부산광역시 서구 구덕로 179 (아미동1가),부산대학교병원,01,상급종합,0,0,0,1,1,0,3,9,472,"",19810827,"",2,0,176,280,0,49241,210006,부산서구,210000,부산,240-7000,129.019,35.1008,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEyMjIjNDEjJDEjJDgjJDgz,""
부산광역시 서구 대신공원로 26 (동대신동3가),동아대학교병원,01,상급종합,0,0,0,0,3,0,5,6,330,동대신동3가,19900303,http://www.damc.or.kr,0,32,96,188,0,49201,210006,부산서구,210000,부산,051-240-2400,129.018,35.1202,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQzIyQwMCQ0NjEwMDIjNDEjJDEjJDQjJDgz,""
서울특별시 강남구 언주로 211 강남세브란스병원 (도곡동),연세대학교의과대학 강남세브란스병원,01,상급종합,0,0,0,0,0,10,27,13,528,"",19830404,http://gs.iseverance.com,1,20,147,310,0,06273,110001,강남구,110000,서울,02-2019-3114,127.046,37.4929,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQzNjE0ODEjNTEjJDEjJDYjJDgz,""
